;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z7 - Zoznam prípravkov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1 Názov prípravku;2 Chemická látka;3 âíslo autorizácie;4 DrÏiteº;4b DrÏiteº názov;5 Formulácia;6 Funkcia prípravku;;7 Dátum ukonãenia platnosti autorizácie;8 Typ pouÏívateºa;9a Paraleln˘ obchod;9b Paraleln˘ obchod;10 Identická autorizácia;11 Typ prípravku;12 Referenãn˘ prípravok;13 Dátum ukonãenia predaja;14 Dátum ukonãenia spotreby;15 Stav rozhodnutia;16 SIGNAL;17 GHS;18 EUH;19 H;20 P;21 PHO;22 SP;23 V;24 Vc;25 Vo;26 Vt;27 Z
;GOLTIX TOP;Metamitron (700.000 g/l);15-11-1583;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;H;;01.07.2016;Profi;N;N;N;Pripravok;;01.01.2017;01.01.2018;neautorizovany;Pozor;GHS07,GHS09;EUH401;H302,H400;P102,P270,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z3
;MIRAGE 45 EC;Prochloraz (450.000 g/l);15-02-1577;ADA;Adama Agriculture Slovensko spol. s.r.o.;EC;F;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2022;30.06.2023;autorizovany;Pozor;GHS09;EUH401;H410;P102,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;PENDIGAN 330 EC;Pendimethalin (330.000 g/l);15-11-1576;ADA;Adama Agriculture Slovensko spol. s.r.o.;EC;H;;31.07.2019;Profi;N;N;N;Pripravok;;31.01.2020;31.01.2021;neautorizovany;Nebezpeãenstvo;GHS02,GHS07,GHS08,GHS09;EUH208,EUH401;H226,H304,H315,H319,H335,H410;P102,P210,P243,P261,P280,P302+P352,P305+P351+P338,P331,P501;;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;PIRIMOR 50 WG;Pirimicarb (500.000 g/kg);18-00265-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;WG;I;;30.04.2021;Profi;N;N;N;Pripravok;;30.10.2021;30.10.2022;autorizovany;Nebezpeãenstvo;GHS06,GHS08,GHS09;EUH208,EUH401;H301,H319,H332,H351,H410;P102,P201,P261,P270,P273,P280,P301+P310,P304+P340,P305+P351+P338,P308+P313,P312,P330,P337+P313,P391,P405,P501;-;SP 1,SPe 3;V1;Vã2,Vã3;Vo1;Vt4;Z3
;RACER 25 EC;Flurochloridone (250.000 g/l);15-11-1584;ADA;Adama Agriculture Slovensko spol. s.r.o.;EC;H;;31.05.2021;Profi;N;N;N;Pripravok;;30.11.2021;30.11.2022;autorizovany;Nebezpeãenstvo;GHS02,GHS07,GHS08,GHS09;EUH066,EUH401;H226,H304,H317,H319,H332,H335,H336,H361d,H410;P201,P210,P243,P261,P271,P273,P280,P301+P310,P302+P352,P304+P340,P305+P351+P338,P308+P313,P331,P391,P405,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;SULTAN 50 SC;Metazachlor (500.000 g/l);15-11-1545;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;H;;31.07.2022;Profi;N;N;N;Pripravok;;31.01.2023;31.01.2024;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H302,H317,H351,H410;P201,P270,P280,P302+P352,P501;PHO1;SP 1,SPe 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;MERCURY;Azoxystrobin (100.000 g/l),Epoxiconazole (100.000 g/l);18-00246-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;F;;16.07.2020;Profi;N;N;N;Pripravok;;31.10.2020;31.10.2021;spotreba;Nebezpeãenstvo;GHS08,GHS09;EUH208,EUH401;H351,H361fd,H410;P101,P201,P273,P280,P308+P313,P391,P405,P501;PHO1;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;SEEDRON;Fludioxonil (50.000 g/l),Tebuconazole (10.000 g/l);18-00221-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;FS;F;;31.10.2021;Profi;N;N;N;Pripravok;;30.04.2022;30.04.2023;autorizovany;Pozor;GHS09;EUH208,EUH401;H410;P273,P280,P391,P501;;SP 1;V3;Vã3;Vo1;Vt5;Z4
;KONTAKT 320 SC;Phenmedipham (320.000 g/l);18-00315-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;H;;31.07.2021;Profi;N;N;N;Pripravok;;31.01.2022;31.01.2023;autorizovany;Nebezpeãenstvo;GHS05,GHS09;EUH208,EUH401;H318,H410;P102,P273,P280,P305+P351+P338,P310,P391,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;BUMPER SUPER;Prochloraz (400.000 g/l),Propiconazole (90.000 g/l);15-02-1578;ADA;Adama Agriculture Slovensko spol. s.r.o.;EC;F;;19.06.2019;Profi;N;N;N;Pripravok;;19.12.2019;19.03.2020;neautorizovany;Pozor;GHS07,GHS09;EUH208,EUH401;H319,H411;P102,P264,P280,P305+P351+P338,P337+P313,P501;;;V3;Vã3;Vo2;Vt5;Z4
