;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z7 - Zoznam prípravkov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1 Názov prípravku;2 Chemická látka;3 âíslo autorizácie;4 DrÏiteº;4b DrÏiteº názov;5 Formulácia;6 Funkcia prípravku;;7 Dátum ukonãenia platnosti autorizácie;8 Typ pouÏívateºa;9a Paraleln˘ obchod;9b Paraleln˘ obchod;10 Identická autorizácia;11 Typ prípravku;12 Referenãn˘ prípravok;13 Dátum ukonãenia predaja;14 Dátum ukonãenia spotreby;15 Stav rozhodnutia;16 SIGNAL;17 GHS;18 EUH;19 H;20 P;21 PHO;22 SP;23 V;24 Vc;25 Vo;26 Vt;27 Z
;EVOQUE;Metylester repkového oleja (652.000 g/l),ethoxylované alkoholy (19.100 g/l),trisiloxane copolymer / trisiloxán kopolymer (112.000 g/l),fatty alcohol ethylene oxide condensate / etoxylované alkoholy mastn˘ch kyselín (22.500 g/l);13-20-1380;;DANUBA Kft.;EC;INE;;27.09.2023;Profi;N;N;N;Pomocny;;27.03.2024;27.03.2025;autorizovany;;GHS05;EUH401;H318,H412;P262,P273,P280,P301+P330+P331,P302+P352,P305+P351+P338,P501;;;;;;;
;ARREST;Kopolymér karboxylovaného styrén butadiénu / styrene butadiene copolymer, carboxylated (420.000 g/l);13-20-1356;;DANUBA Kft.;SL;INE;;13.05.2023;Profi;N;N;N;Adjuvant;;13.11.2023;13.11.2024;autorizovany;;;;;;;SP 1;;;;;
;SENTINEL;zmes sequestrantov a pufrovaãn˘ch ãinidiel (5.000 %);15-20-1587;;DANUBA Kft.;XX;INE;;09.06.2025;Profi;N;N;N;Pomocny;;09.12.2025;09.12.2026;autorizovany;;GHS07;EUH401;H319;P264,P280,P305+P351+P338,P337+P313;;;;;;;
;VELOCITY;Metylester repkového oleja (744.500 g/l),polyether-polymethylsiloxan-kopolymer (103.300 g/l);20-00944-PM;;AGROVISTA BV;EC;INE;;18.12.2030;Profi;N;N;N;Adjuvant;;18.06.2031;18.06.2032;autorizovany;;;EUH401;H412;P262,P270,P273,P280,P305+P351+P338;;;;;;;
;ROLLWET;polyether-polymethylsiloxan-kopolymer (169.300 g/l),block-copolymer of ethylene oxide and propylene oxide (832.000 g/l);20-00945-PM;;AGROVISTA BV;SL;INE;;08.03.2021;Profi;N;N;N;Adjuvant;;08.09.2021;08.09.2022;autorizovany;Pozor;GHS07;EUH401;H319,H412;P102,P262,P264,P270,P273,P280,P305+P351+P338,P501;;SP 1;V3;;Vo3;Vt5;Z4
;ADAPTIC;Ammonium sulfate / Síran amónny (190.000 g/l),polyacrylamide (11.300 g/l);20-00947-PM;;AGROVISTA BV;SL;INE;;29.03.2021;Profi;N;N;N;Adjuvant;;29.09.2021;29.09.2022;autorizovany;Pozor;GHS07;EUH401;H319;P264,P270,P280,P301+P310,P305+P351+P338;;;;;;;
;GROUNDED;Paraffin oil/(CAS 64742-54-7) (732.000 g/l);20-00946-PM;;AGROVISTA BV;EC;INE;;18.12.2030;Profi;N;N;N;Pomocny;;18.06.2031;18.06.2032;autorizovany;;;EUH401;;P262,P273,P280,P301+P330+P331,P302+P352,P304+P340,P305+P351+P338,P501;;SP 1;;;;;
;ORTUS 5SC;Fenpyroximate (51.200 g/l);20-00942-AU;;NICHINO EUROPE Co. LTD, C/O LAFER & PARTNER WTH GmbH ;SC;I;;30.04.2022;Profi;N;N;N;Pripravok;;30.10.2022;30.10.2023;autorizovany;;GHS07,GHS09;EUH401;H317,H319,H332,H410;P101,P102,P261,P273,P280,P302+P352,P304+P340,P305+P351+P338,P362+P364,P391,P501;-;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;MONCUT;Flutolanil (460.000 g/l);20-00941-AU;;NICHINO EUROPE Co. LTD, C/O LAFER & PARTNER WTH GmbH ;SC;F;;28.02.2022;Profi;N;N;N;Pripravok;;28.08.2022;28.08.2023;autorizovany;;GHS09;EUH208,EUH401;H411;P273,P501;-;SP 1;V3;Vã3;Vo2;Vt5;Z4
;SAVVY;Metsulfuron-methyl (200.000 g/kg);20-01029-AU;;ROTAM CROP PROTECTION SAS;WG;H;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2022;30.06.2023;autorizovany;Pozor;GHS09;EUH401;H410;P273,P391,P501;-;SP 1;V3;Vã3;Vo2;Vt5;Z4
;ERASMUS;Tebuconazole (250.000 g/l);20-01039-AU;;ROTAM CROP PROTECTION SAS;EW;F;;31.08.2021;Profi;N;N;N;Pripravok;;28.02.2022;28.02.2023;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H302,H319,H361d,H411;P201,P273,P280,P301+P312,P308+P313,P337+P313,P405,P420,P501;PHO1;SP 1,SPe 1,SPe 2,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;PRIMERO;Nicosulfuron (40.000 g/l);20-01033-AU;;ROTAM CROP PROTECTION SAS;OD;H;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2022;30.06.2023;autorizovany;Nebezpeãenstvo;GHS09;EUH401;H410;P102,P270,P273,P391,P501;PHO1;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;TEMPLIER;Nicosulfuron (750.000 g/kg);20-01038-AU;;ROTAM CROP PROTECTION SAS;WG;H;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2022;30.06.2023;autorizovany;Pozor;GHS09;EUH401;H410;P273,P280,P391,P501;;SP 1,SPe 3;V3;Vã3;Vo3;Vt5;Z4
;DARCOS;Tebuconazole (250.000 g/l);20-01028-AU;;ROTAM CROP PROTECTION SAS;EW;F;;31.08.2021;Profi;N;N;N;Pripravok;;28.02.2022;28.02.2023;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H302,H319,H361d,H411;P201,P273,P280,P301+P312,P308+P313,P337+P313,P405,P420,P501;PHO1;SP 1,SPe 1,SPe 2,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;STARPRO 430 SC;Tebuconazole (430.000 g/l);20-01030-AU;;ROTAM CROP PROTECTION SAS;SC;F;;31.08.2021;Profi;N;N;N;Pripravok;;28.02.2022;28.02.2023;autorizovany;Pozor;GHS08,GHS09;EUH208,EUH401;H361d,H411;P202,P273,P280,P308+P313,P391,P405,P501;PHO1;SP 1,SPe 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;YAMATO;Tetraconazole (70.000 g/l),Thiophanate-methyl (233.000 g/l);20-00948-AU;;SUMI AGRO EUROPE LIMITED;SE;F;;31.10.2021;Profi;N;N;N;Pripravok;;30.04.2022;30.04.2023;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H302,H317,H332,H341,H410;P201,P261,P273,P280,P301+P312,P302+P352,P304+P340,P312,P391,P420,P501;-;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;DANEVA;Mesotrione (100.000 g/l);20-01031-AU;;ROTAM CROP PROTECTION SAS;SC;H;;31.07.2023;Profi;N;N;N;Pripravok;;31.01.2024;31.01.2025;autorizovany;Nebezpeãenstvo;GHS05,GHS07,GHS09;EUH401;H302,H318,H410;P202,P273,P280,P301+P312,P305+P351+P338,P310,P330,P391,P501;PHO1;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;EVEA;Clomazone (360.000 g/l);20-01023-AU;;ROTAM CROP PROTECTION SAS;CS;H;;31.10.2021;Profi;N;N;N;Pripravok;;30.04.2022;30.04.2023;autorizovany;Pozor;GHS07,GHS09;EUH208,EUH401;H315,H319,H410;P273,P280,P302+P352,P305+P351+P338,P337+P313,P391,P501;PHO1;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;OCEAL;Dicamba (700.000 g/kg);20-01032-AU;;ROTAM CROP PROTECTION SAS;SG;H;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2022;30.06.2023;autorizovany;Pozor;GHS09;;H411;P101,P102,P264,P273,P280,P391,P501;;SP 1,SPe 3;V3;Vã3;Vo3;Vt5;Z4
;MANCOMORF MZ WG;Dimethomorph (90.000 g/kg),Mancozeb (600.000 g/kg);20-00751-PO;AGM;AGRIMOTION S.A.;WG;F;;31.07.2021;Profi;A;A;N;Pripravok;ACROBAT MZ WG;31.01.2022;31.01.2023;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H317,H361d,H410;P102,P201,P261,P270,P272,P273,P280,P302+P352,P308+P313,P333+P313,P363,P391,P405,P420,P501;;SP 1;V3;Vã3;Vo2;Vt5;Z4
;COZEP;Dimethomorph (90.000 g/kg),Mancozeb (600.000 g/kg);19-00459-PO;REA;Realchemie Trading B.V.;WG;F;;31.07.2020;Profi;A;A;N;Pripravok;ACROBAT MZ WG;31.01.2021;31.01.2022;spotreba;Pozor;GHS07,GHS08,GHS09;EUH401;H317,H361d,H410;P102,P201,P261,P270,P272,P273,P280,P302+P352,P308+P313,P333+P313,P363,P391,P405,P420,P501;;SP 1;V3;Vã3;Vo2;Vt5;Z4
;COZEP;Dimethomorph (90.000 g/kg),Mancozeb (600.000 g/kg);17-PD-0710;REA;Realchemie Trading B.V.;WG;F;;31.01.2019;Profi;A;A;N;Pripravok;ACROBAT MZ WG;31.07.2019;31.07.2020;neautorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H317,H361d,H400,H410;P102,P201,P261,P270,P272,P273,P280,P302+P352,P308+P313,P333+P313,P363,P391,P405,P420,P501;-;SP 1;V3;Vã3;Vo2;Vt5;Z4
;A-dengaN;Isoxaflutole (225.000 g/l),Thiencarbazone (87.000 g/l);20-00749-PO;;HMpG GmbH Troisdorf;SC;H;;31.07.2020;Profi, Neprofi;A;A;N;Pripravok;ADENGO SC;31.01.2021;31.01.2022;spotreba;Pozor;GHS08,GHS09;EUH401;H361d,H410;P280,P308+P313,P501;PHO3;SP 1;V3;Vã3;Vo2;Vt5;Z4
;ISOCARBAN SC;Isoxaflutole (225.000 g/l),Thiencarbazone (87.000 g/l);20-00896-PO;AGM;AGRIMOTION S.A.;SC;H;;31.07.2025;Profi;A;A;N;Pripravok;ADENGO SC;31.01.2026;31.01.2027;autorizovany;Pozor;GHS08,GHS09;EUH401;H361d,H410;P280,P308+P313,P501;PHO3;SP 1;V3;Vã3;Vo2;Vt5;Z4
;A-dengaN-I;Isoxaflutole (225.000 g/l),Thiencarbazone (87.000 g/l);20-00831-PO;HMG;HMpG GmbH, ;SC;H;;31.07.2025;Profi;A;A;N;Pripravok;ADENGO SC;31.01.2026;31.01.2027;autorizovany;Pozor;GHS08,GHS09;EUH401;H361d,H410;P280,P308+P313,P501;PHO3;SP 1;V3;Vã3;Vo2;Vt5;Z4
;GREEN DENGO;Isoxaflutole (225.000 g/l),Thiencarbazone (87.000 g/l) CIPAC: methyl (90.000 g/l);17-00096-PO;GRE;Green Point, spol. s.r.o.,;SC;H;;31.07.2019;Profi;A;A;N;Pripravok;ADENGO SC;31.01.2020;31.01.2021;neautorizovany;Pozor;GHS08,GHS09;EUH401;H361d,H410;P280,P308+P313,P501;PHO3;SP 1;V3;Vã3;Vo2;Vt5;Z4
;ALIETTE;Fosetyl (248.600 g/kg) CIPAC: Al3+ (800.000 g/kg);19-00582-POOS;;BONUM ovocinárske druÏstvo;WG;F;;30.04.2021;Profi;A;A;N;Pripravok;ALIETTE 80 WG;31.10.2021;31.10.2022;autorizovany;Pozor;GHS07;EUH401;H319;P280,P337+P313;;SP 1;V3;Vã3;Vo2;Vt5;Z4
;WINBY;Fluazinam (500.000 g/l);20-00773-AU;ISK;ISK BIOSCIENCES EUROPE N.V.;SC;F;;28.02.2022;Profi;N;N;A;Pripravok;ALTIMA 500 SC;28.08.2022;28.08.2023;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH210,EUH401;H317,H361d,H410;P102,P201,P202,P261,P270,P272,P273,P280,P302+P352,P308+P313,P321,P333+P313,P362+P364,P363,P391,P405,P501;-;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;OHAYO;Fluazinam (500.000 g/l);20-00772-AU;ISK;ISK BIOSCIENCES EUROPE N.V.;SC;F;;28.02.2022;Profi;N;N;A;Pripravok;ALTIMA 500 SC;28.08.2022;28.08.2023;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH210,EUH401;H317,H361d,H410;P102,P201,P202,P261,P270,P272,P273,P280,P302+P352,P308+P313,P321,P333+P313,P362+P364,P363,P391,P405,P501;-;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;FROWNCIDE;Fluazinam (500.000 g/l);20-00771-AU;ISK;ISK BIOSCIENCES EUROPE N.V.;SC;F;;28.02.2022;Profi;N;N;A;Pripravok;ALTIMA 500 SC;28.08.2022;28.08.2023;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH210,EUH401;H317,H361d,H410;P102,P201,P202,P261,P270,P272,P273,P280,P302+P352,P308+P313,P321,P333+P313,P362+P364,P363,P391,P405,P501;-;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;FROWNCIDE;Fluazinam (500.000 g/l);15-PD-0558;ISK;ISK BIOSCIENCES EUROPE N.V.;SC;F;;28.02.2019;Profi;A;A;N;Pripravok;ALTIMA 500 SC;28.08.2019;28.08.2020;neautorizovany;;;;;;;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;OHAYO;Fluazinam (500.000 g/l);15-PD-0559;ISK;ISK BIOSCIENCES EUROPE N.V.;SC;F;;28.02.2019;Profi;A;A;N;Pripravok;ALTIMA 500 SC;28.08.2019;28.08.2020;neautorizovany;Pozor;GHS07,GHS08,GHS09;EUH210,EUH401;H317,H361d,H410;P102,P201,P202,P261,P270,P272,P273,P280,P302+P352,P308+P313,P321,P333+P313,P362+P364,P391,P405,P501;;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;WINBY;Fluazinam (500.000 g/l);15-PD-0561;ISK;ISK BIOSCIENCES EUROPE N.V.;SC;F;;28.02.2019;Profi;A;A;N;Pripravok;ALTIMA 500 SC;28.08.2019;28.08.2020;neautorizovany;Pozor;GHS07,GHS08,GHS09;EUH210,EUH401;H317,H361d,H410;P102,P201,P202,P261,P270,P272,P273,P280,P302+P352,P308+P313,P321,P333+P313,P362+P364,P391,P405,P501;;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;STROBIK;Azoxystrobin (250.000 g/l);12-PD-0363;ORA;ORAGRO-Z, s.r.o.;SC;F;;16.05.2021;Profi;A;A;N;Pripravok;AMISTAR;16.11.2021;16.11.2022;autorizovany;Nebezpeãenstvo;GHS09;EUH401;H410;P102,P270,P391,P501;;SPa 1;V2;Vã3;Vo1;Vt5;Z4
;STROBIN;Azoxystrobin (250.000 g/l);14-PD-0543;REA;Realchemie Trading B.V.;SC;F;;16.05.2021;Profi;A;A;N;Pripravok;AMISTAR;16.11.2021;16.11.2022;autorizovany;Nebezpeãenstvo;GHS09;EUH401;H410;P102,P270,P391,P501;PHO3;SP 1,SPa 1,SPe 3;V2;Vã3;Vo1;Vt5;Z4
;ANISTA;Azoxystrobin (250.000 g/l);15-PD-0576;LTT;LTT CROPS LTD;SC;F;;31.12.2021;Profi;A;A;N;Pripravok;AMISTAR;30.06.2022;30.06.2023;autorizovany;Nebezpeãenstvo;GHS09;EUH401;H410;P102,P270,P391,P501;;SPa 1;V2;Vã3;Vo1;Vt5;Z4
;AZOXYSTAR;Azoxystrobin (250.000 g/l);13-PD-0575;KON;KONAGRO, s.r.o.;SC;F;;31.12.2021;Profi;A;A;N;Pripravok;AMISTAR;30.06.2022;30.06.2023;autorizovany;Nebezpeãenstvo;GHS09;EUH401;H410;P270,P391,P501;;SPa 1;V2;Vã3;Vo1;Vt5;Z4
;GLOBAZTAR AZT 250 SC;Azoxystrobin (250.000 g/l);19-00555-AU;SYS;Syngenta Slovakia s.r.o.;SC;F;;31.12.2025;Profi;N;N;A;Pripravok;AMISTAR;30.06.2026;30.06.2027;autorizovany;Nebezpeãenstvo;GHS09;EUH401;H410;P102,P270,P273,P280,P391,P501;PHO1,PHO4;SP 1,SPa 1,SPe 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;PRIORI;Azoxystrobin (250.000 g/l);19-00436-AU;SYS;Syngenta Slovakia s.r.o.;SC;F;;31.12.2022;Profi;N;N;A;Pripravok;AMISTAR;30.06.2023;30.06.2024;autorizovany;Nebezpeãenstvo;GHS09;EUH208,EUH401;H410;P102,P270,P273,P280,P391,P501;PHO1;SP 1,SPa 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;MIRADOR;Azoxystrobin (250.000 g/l);20-00738-AU;SYS;Syngenta Slovakia s.r.o.;SC;F;;31.12.2025;Profi;N;N;A;Pripravok;AMISTAR;30.06.2026;30.06.2027;autorizovany;Nebezpeãenstvo;GHS09;EUH208,EUH401;H410;P102,P270,P273,P280,P391,P501;PHO1,PHO4;SP 1,SPa 1,SPe 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;SIMPLIA;Azoxystrobin (250.000 g/l);21-01042-AU;SYS;Syngenta Slovakia s.r.o.;SC;F;;31.12.2025;Profi;N;N;A;Pripravok;AMISTAR;30.06.2026;30.06.2027;autorizovany;Nebezpeãenstvo;GHS09;EUH401;H410;P102,P270,P273,P280,P391;PHO1,PHO4;SP 1,SPa 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;AMISTAR;Azoxystrobin (250.000 g/l);11-PD-0301-VP;;AGROMAâAJ a.s.;SC;F;;02.01.2021;Profi;A;A;N;Pripravok;AMISTAR;31.12.2021;31.12.2021;dopredaj;Nebezpeãenstvo;GHS09;EUH401;H410;P102,P270,P391,P501;PHO3;SP 1,SPa 1,SPe 3;V2;Vã3;Vo1;Vt5;Z4
;AZOXYSTAR 250 SC;Azoxystrobin (250.000 g/l);17-00077-PO;AST;AgriStar - agrochemicals s.r.o.;SC;F;;31.12.2021;Profi;A;A;N;Pripravok;AMISTAR;30.06.2022;30.06.2023;autorizovany;Nebezpeãenstvo;GHS09;EUH401;H410;P102,P270,P391,P501;PHO3;SP 1,SPa 1,SPe 3;V2;Vã3;Vo1;Vt5;Z4
;GREEN STAR;Azoxystrobin (250.000 g/l);13-PD-0448;GRE;Green Point, spol. s.r.o.,;SC;F;;03.01.2021;Profi;A;A;N;Pripravok;AMISTAR;30.06.2021;30.06.2022;dopredaj;Nebezpeãenstvo;GHS09;EUH401;H410;P102,P270,P391,P501;;SPa 1;V2;Vã3;Vo1;Vt5;Z4
;GOLDEN AZZOX 250 SC;Azoxystrobin (250.000 g/l);13-PD-0400;GOL;Goldengrass Ltd., Dickens House;SC;F;;16.05.2021;Profi;A;A;N;Pripravok;AMISTAR;16.11.2021;16.11.2022;autorizovany;;;;;;-;SPa 1;V2;Vã3;Vo1;Vt5;Z4
;AMISTAR;Azoxystrobin (250.000 g/l);13-PD-0423-VP;GRE;Green Point, spol. s.r.o.,;SC;F;;03.01.2021;Profi;A;A;N;Pripravok;AMISTAR;31.12.2021;31.12.2021;dopredaj;Nebezpeãenstvo;GHS09;EUH401;H410;P102,P270,P391,P501;;SPa 1;V2;Vã3;Vo1;Vt5;Z4
;AM EXTRA PLUS;Azoxystrobin (200.000 g/l),Cyproconazole (80.000 g/l);19-00602-PO;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;F;;30.06.2022;Profi;A;A;N;Pripravok;MIRADOR XTRA;30.12.2022;30.12.2023;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH401;H302 + H332,H361d,H410;P102,P201,P202,P261,P264,P270,P271,P273,P280,P301+P312,P304+P340,P308+P313,P312,P391,P405,P501;PHO1;SP 1;V3;Vã3;Vo1;Vt5;Z4
;A-mixtraN 280;Azoxystrobin (200.000 g/l),Cyproconazole (80.000 g/l);18-00256-PO;HMG;HMpG GmbH, ;SC;F;;30.06.2022;Profi;A;A;N;Pripravok;MIRADOR XTRA;31.12.2022;31.12.2023;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH401;H302 + H332,H361d,H410;P102,P201,P261,P270,P273,P301+P312,P304+P340,P308+P313,P312,P391,P405,P501;PHO1;SP 1;V3;Vã3;Vo1;Vt5;Z4
;AZOR EXTRA;Azoxystrobin (200.000 g/l),Cyproconazole (80.000 g/l);18-00229-PO;MJS;MJM AGRO SLOVAKIA s.r.o.;SC;F;;30.06.2022;Profi;A;A;N;Pripravok;MIRADOR XTRA;30.12.2022;30.12.2023;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH401;H302 + H332,H361d,H410;P102,P201,P261,P270,P273,P301+P312,P304+P340,P308+P313,P312,P391,P405,P501;PHO1;SP 1;V3;Vã3;Vo1;Vt5;Z4
;STROBINAZOL;Azoxystrobin (200.000 g/l),Cyproconazole (80.000 g/l);19-00488-PO;AGM;AGRIMOTION S.A.;SC;F;;30.06.2022;Profi;A;A;N;Pripravok;MIRADOR XTRA;30.12.2022;30.12.2023;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH401;H302 + H332,H361d,H410;P102,P201,P202,P261,P264,P270,P271,P273,P280,P301+P312,P304+P340,P308+P313,P312,P391,P405,P501;PHO1;SP 1;V3;Vã3;Vo1;Vt5;Z4
;STROBINAZOL-I;Azoxystrobin (200.000 g/l),Cyproconazole (80.000 g/l);19-00489-PO;AGM;AGRIMOTION S.A.;SC;F;;30.06.2022;Profi;A;A;N;Pripravok;MIRADOR XTRA;30.12.2022;30.12.2023;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH401;H302 + H332,H361d,H410;P102,P201,P202,P261,P264,P270,P271,P273,P280,P301+P312,P304+P340,P308+P313,P312,P391,P405,P501;PHO1;SP 1;V3;Vã3;Vo1;Vt5;Z4
;iX-STAR;Azoxystrobin (200.000 g/l);12-PD-0357;ZEN;ZENAGRO, s.r.o.;SC;F;;06.01.2021;Profi;A;A;N;Pripravok;MIRADOR XTRA;30.06.2021;30.06.2022;dopredaj;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH401;H302 + H332,H361d,H410,H411;P102,P201,P261,P270,P273,P301+P312,P304+P340,P308+P313,P312,P391,P405,P501;PHO1;SP 1;V3;Vã3;Vo1;Vt5;Z4
;AZONACOL 280;Azoxystrobin (200.000 g/l),Cyproconazole (80.000 g/l);16-PD-0693;REA;Realchemie Trading B.V.;SC;F;;30.06.2022;Profi;A;A;N;Pripravok;MIRADOR XTRA;31.12.2022;31.12.2023;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH401;H302 + H332,H361d,H410,H411;P102,P201,P261,P270,P273,P301+P312,P304+P340,P308+P313,P312,P391,P405,P501;PHO1;SP 1;V3;Vã3;Vo1;Vt5;Z4
;AZONACOL 280;Azoxystrobin (200.000 g/l),Cyproconazole (80.000 g/l);17-00018-PO;REA;Realchemie Trading B.V.;SC;F;;30.06.2022;Profi;A;A;N;Pripravok;MIRADOR XTRA;31.12.2022;31.12.2023;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH401;H302 + H332,H361d,H410,H411;P102,P201,P261,P270,P273,P301+P312,P304+P340,P308+P313,P312,P391,P405,P501;PHO1;;V3;Vã3;Vo1;Vt5;Z4
;AZONACOL 280;Azoxystrobin (200.000 g/l),Cyproconazole (80.000 g/l);13-PD-0444;REA;Realchemie Trading B.V.;EC;F;;31.05.2021;Profi;A;A;N;Pripravok;MIRADOR XTRA;30.11.2021;30.11.2022;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH401;H302 + H332,H361d,H410,H411;P102,P201,P261,P273,P301+P312,P304+P340,P308+P313,P312,P391,P405,P501;;SP 1;V3;Vã3;Vo1;Vt5;Z4
;A-mixtraN-I;Azoxystrobin (200.000 g/l),Cyproconazole (80.000 g/l);19-00643-PO;;HMpG GmbH Troisdorf;SC;F;;30.06.2022;Profi;A;A;N;Pripravok;MIRADOR XTRA;30.12.2022;30.12.2023;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH401;H302 + H332,H361d,H410;P102,P201,P202,P261,P264,P270,P271,P273,P280,P301+P312,P304+P340,P308+P313,P312,P391,P405,P501;PHO1;SP 1;V3;Vã3;Vo1;Vt5;Z4
;A-mixtraN-II;Azoxystrobin (200.000 g/l),Cyproconazole (80.000 g/l);19-00626-PO;;HMpG GmbH Troisdorf;SC;F;;30.06.2022;Profi;A;A;N;Pripravok;MIRADOR XTRA;30.12.2022;30.12.2023;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH401;H302 + H332,H361d,H410;P102,P201,P202,P261,P264,P270,P271,P273,P280,P301+P312,P304+P340,P308+P313,P312,P391,P405,P501;PHO1;SP 1;V3;Vã3;Vo1;Vt5;Z4
;CERTO;Dicamba (500.000 g/kg),Tritosulfuron (250.000 g/kg);20-01022-AU;BAS;BASF Slovensko, spol. s r.o.;WG;H;;30.11.2022;Profi;N;N;A;Pripravok;ARRAT;30.05.2023;30.05.2024;autorizovany;Pozor;GHS07,GHS09;EUH208,EUH401;H317,H319,H411;P102,P261,P264,P270,P272,P280,P302+P352,P305+P351+P338,P333+P313,P363,P391,P501;PHO3;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;ALGEDI;Dicamba (500.000 g/kg),Tritosulfuron (250.000 g/kg);19-00648-AU;BAS;BASF Slovensko, spol. s r.o.;WG;H;;30.11.2021;Profi;N;N;A;Pripravok;ARRAT;31.05.2022;31.05.2023;autorizovany;Pozor;GHS07,GHS09;EUH208,EUH401;H317,H319,H411;P102,P261,P264,P270,P272,P280,P302+P352,P305+P351+P338,P333+P313,P363,P391,P501;PHO3;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;RONDO;Quinoxyfen (500.000 g/l);15-PD-0552;DAS;Dow AgroSciences s.r.o., organizaãná zloÏka;SC;F;;30.04.2017;Profi;A;A;N;Pripravok;ATLAS;31.10.2017;31.10.2018;neautorizovany;;;;;;;;;;;;
;ATONIK;Sodium 5-nitroguaiacolate (1.000 g/l),Sodium o-nitrophenolate (2.000 g/l),Sodium p-nitrophenolate (3.000 g/l);97-MB-0197;FLS;FLORASERVIS spol. s r.o.;SL;MO;;31.10.2023;Neprofi;N;N;N;Pripravok;ATONIK;30.04.2024;30.04.2025;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;;P102,P261,P270,P271,P301+P312;;SP 1;V3;Vã3;Vo3;Vt5;Z4
;DIKAM 480 SL;Dicamba (480.000 g/l);17-00036-PO;AST;AgriStar - agrochemicals s.r.o.;SL;H;;31.12.2018;Profi;A;A;N;Pripravok;BANVEL 480 S;30.06.2019;30.06.2020;neautorizovany;Pozor;GHS07;EUH401;H319,H412;P102,P201,P270,P273,P280,P305+P351+P338,P337+P313,P405,P420;;SP 1;V3;Vã3;Vo3;Vt5;Z4
;BASTA 150 SL;Glufosinate (150.000 g/l);17-00147-POOS;CHA;Chateau Modra a.s.;SL;H;;31.07.2019;Profi;A;A;N;Pripravok;BASTA 15;31.01.2020;31.01.2021;neautorizovany;Nebezpeãenstvo;GHS05,GHS06,GHS08;EUH401;H302,H311,H318,H360FD,H373;P201,P280,P305+P351+P338,P308+P313,P501;;;V3;Vã3;Vo3;Vt5;Z4
;A-betaN-II;Desmedipham (71.000 g/l),Ethofumesate (112.000 g/l),Phenmedipham (91.000 g/l);18-00202-PO;HMG;HMpG GmbH, ;EC;H;;31.07.2018;Profi;A;A;N;Pripravok;BETANAL EXPERT;31.01.2019;31.01.2020;neautorizovany;Pozor;GHS09;EUH401;H410;P501;;SP 1;V2;Vã3;Vo2;Vt5;Z4
